species_name,siteID,year,ba,trees,reg,dbh,growth,n_at_risk,n_died,mort,species
Pinus contorta,11,2,0,0,0,,,0,0,,3
Abies concolor,11,2,0,0,0,,,0,0,,4
Abies grandis,11,2,0,0,0,,,0,0,,5
Tsuga heterophylla,11,2,0.114009182796937,0.25,4.16666666666667,76.2,,0,0,,6
Tsuga mertensiana,11,2,0,0,0,,,0,0,,7
Lithocarpus densiflorus,11,2,0,0,0,,,0,0,,8
Alnus rubra,11,2,0,0,0,,,0,0,,9
Abies amabilis,11,2,0,0,0,,,0,0,,10
other,11,2,0,0,0,,,0,0,,11
Pseudotsuga menziesii,12,1,0.00603108576995797,0.25,0,17.526,0.232142857142857,1,0,0,1
Pinus ponderosa,12,1,0.351380101686253,8,8.33333333333333,22.8943958333333,0.109733693763689,30,0,0,2
Pinus contorta,12,1,0,0,0,,,0,0,,3
Abies concolor,12,1,0,0,0,,,0,0,,4
Abies grandis,12,1,0,0,0,,,0,0,,5
Tsuga heterophylla,12,1,0,0,0,,,0,0,,6
Tsuga mertensiana,12,1,0,0,0,,,0,0,,7
Lithocarpus densiflorus,12,1,0,0,0,,,0,0,,8
Alnus rubra,12,1,0,0,0,,,0,0,,9
Abies amabilis,12,1,0,0,0,,,0,0,,10
other,12,1,0,0,0,,,0,0,,11
Pseudotsuga menziesii,12,2,0.00831126942589671,0.25,0,20.574,0.173913043478261,1,0,0,1
Pinus ponderosa,12,2,0.38037517040891,7.5,4.16666666666667,24.3713,0.067226856009617,32,3,0.09375,2
Pinus contorta,12,2,0,0,0,,,0,0,,3
Abies concolor,12,2,0,0,0,,,0,0,,4
Abies grandis,12,2,0,0,0,,,0,0,,5
Tsuga heterophylla,12,2,0,0,0,,,0,0,,6
Tsuga mertensiana,12,2,0,0,0,,,0,0,,7
Lithocarpus densiflorus,12,2,0,0,0,,,0,0,,8
Alnus rubra,12,2,0,0,0,,,0,0,,9
Abies amabilis,12,2,0,0,0,,,0,0,,10
other,12,2,0,0,0,,,0,0,,11
Pseudotsuga menziesii,13,1,0,0,0,,,0,0,,1
Pinus ponderosa,13,1,0,0,0,,,0,0,,2
Pinus contorta,13,1,0,0,0,,,0,0,,3
Abies concolor,13,1,0,0,0,,,0,0,,4
Abies grandis,13,1,0,0,0,,,0,0,,5
Tsuga heterophylla,13,1,0,0,0,,,0,0,,6
Tsuga mertensiana,13,1,0,0,0,,,0,0,,7
Lithocarpus densiflorus,13,1,0,0,0,,,0,0,,8
Alnus rubra,13,1,0,0,0,,,0,0,,9
Abies amabilis,13,1,0,0,0,,,0,0,,10
other,13,1,0.441781783032038,2.5,4.16666666666667,42.291,0.0852413880377992,9,0,0,11
Pseudotsuga menziesii,13,2,0,0,0,,,0,0,,1
Pinus ponderosa,13,2,0,0,0,,,0,0,,2
Pinus contorta,13,2,0,0,0,,,0,0,,3
Abies concolor,13,2,0,0,0,,,0,0,,4
Abies grandis,13,2,0,0,0,,,0,0,,5
Tsuga heterophylla,13,2,0,0,0,,,0,0,,6
Tsuga mertensiana,13,2,0,0,0,,,0,0,,7
Lithocarpus densiflorus,13,2,0,0,0,,,0,0,,8
Alnus rubra,13,2,0,0,0,,,0,0,,9
Abies amabilis,13,2,0,0,0,,,0,0,,10
other,13,2,0.4429256751661,2.25,0,45.1485,0.0650545447309932,10,1,0.1,11
Pseudotsuga menziesii,14,1,0,0,0,,,0,0,,1
Pinus ponderosa,14,1,0,0,0,,,0,0,,2
Pinus contorta,14,1,0.247722952687278,6,4.16666666666667,22.4961349206349,0.193607472238675,23,2,0.0869565217391304,3
Abies concolor,14,1,0,0,0,,,0,0,,4
Abies grandis,14,1,0,0,0,,,0,0,,5
Tsuga heterophylla,14,1,0,0,0,,,0,0,,6
Tsuga mertensiana,14,1,0,0,0,,,0,0,,7
Lithocarpus densiflorus,14,1,0,0,0,,,0,0,,8
Alnus rubra,14,1,0,0,0,,,0,0,,9
Abies amabilis,14,1,0,0,0,,,0,0,,10
other,14,1,0.10545089347498,2.25,0,22.86,0.160330472080543,17,8,0.470588235294118,11
Pseudotsuga menziesii,14,2,0,0,0,,,0,0,,1
Pinus ponderosa,14,2,0,0,0,,,0,0,,2
Pinus contorta,14,2,0.290750018274842,6.25,8.33333333333333,23.6666851851852,0.115064391395247,24,1,0.0416666666666667,3
Abies concolor,14,2,0,0,0,,,0,0,,4
Abies grandis,14,2,0.00411573149896943,0.25,4.16666666666667,14.478,,0,0,,5
Tsuga heterophylla,14,2,0,0,0,,,0,0,,6
Tsuga mertensiana,14,2,0,0,0,,,0,0,,7
Lithocarpus densiflorus,14,2,0,0,0,,,0,0,,8
Alnus rubra,14,2,0,0,0,,,0,0,,9
Abies amabilis,14,2,0,0,0,,,0,0,,10
other,14,2,0.122672613920806,2.5,12.5,22.8247222222222,0.130008984256696,9,2,0.222222222222222,11
Pseudotsuga menziesii,15,1,0.00568652468417167,0.25,4.16666666666667,17.018,,0,0,,1
Pinus ponderosa,15,1,0.190097644626915,7,37.5,19.4889859943978,0.14912911917111,19,0,0,2
Pinus contorta,15,1,0,0,0,,,0,0,,3
Abies concolor,15,1,0,0,0,,,0,0,,4
Abies grandis,15,1,0,0,0,,,0,0,,5
Tsuga heterophylla,15,1,0,0,0,,,0,0,,6
Tsuga mertensiana,15,1,0,0,0,,,0,0,,7
Lithocarpus densiflorus,15,1,0,0,0,,,0,0,,8
Alnus rubra,15,1,0,0,0,,,0,0,,9
Abies amabilis,15,1,0,0,0,,,0,0,,10
other,15,1,0,0,0,,,0,0,,11
Pseudotsuga menziesii,15,2,0.0102608264517243,0.25,0,22.86,0.343283582089552,1,0,0,1
Pinus ponderosa,15,2,0.233654219530136,7.5,16.6666666666667,22.320753968254,0.104293978139953,28,2,0.0714285714285714,2
Pinus contorta,15,2,0,0,0,,,0,0,,3
Abies concolor,15,2,0,0,0,,,0,0,,4
Abies grandis,15,2,0,0,0,,,0,0,,5
Tsuga heterophylla,15,2,0,0,0,,,0,0,,6
Tsuga mertensiana,15,2,0,0,0,,,0,0,,7
Lithocarpus densiflorus,15,2,0,0,0,,,0,0,,8
Alnus rubra,15,2,0,0,0,,,0,0,,9
Abies amabilis,15,2,0,0,0,,,0,0,,10
other,15,2,0,0,0,,,0,0,,11
Pseudotsuga menziesii,16,1,8.67441400847891,9.75,4.16666666666667,105.607623397436,0.0156259311031822,39,1,0.0256410256410256,1
Pinus ponderosa,16,1,0,0,0,,,0,0,,2
Pinus contorta,16,1,0,0,0,,,0,0,,3
Abies concolor,16,1,0,0,0,,,0,0,,4
Abies grandis,16,1,0,0,0,,,0,0,,5
Tsuga heterophylla,16,1,0,0,0,,,0,0,,6
Tsuga mertensiana,16,1,0,0,0,,,0,0,,7
Lithocarpus densiflorus,16,1,0.225517764184528,5.5,4.16666666666667,20.3207055555556,0.0777579723868047,21,1,0.0476190476190476,8
Alnus rubra,16,1,0,0,0,,,0,0,,9
Abies amabilis,16,1,0,0,0,,,0,0,,10
other,16,1,0,0,0,,,0,0,,11
Pseudotsuga menziesii,16,2,8.99262250504604,9.75,0,107.655498397436,0.0201670541930143,39,0,0,1
Pinus ponderosa,16,2,0,0,0,,,0,0,,2
Pinus contorta,16,2,0,0,0,,,0,0,,3
Abies concolor,16,2,0,0,0,,,0,0,,4
Abies grandis,16,2,0,0,0,,,0,0,,5
Tsuga heterophylla,16,2,0,0,0,,,0,0,,6
Tsuga mertensiana,16,2,0,0,0,,,0,0,,7
Lithocarpus densiflorus,16,2,0.261087362448474,6,8.33333333333333,21.2372222222222,0.0557182900834747,22,0,0,8
Alnus rubra,16,2,0,0,0,,,0,0,,9
Abies amabilis,16,2,0,0,0,,,0,0,,10
other,16,2,0,0,0,,,0,0,,11
Pseudotsuga menziesii,17,1,2.68523928088579,2.5,4.16666666666667,100.74275,0.0768223712191153,9,0,0,1
Pinus ponderosa,17,1,0,0,0,,,0,0,,2
Pinus contorta,17,1,0,0,0,,,0,0,,3
Abies concolor,17,1,0,0,0,,,0,0,,4
Abies grandis,17,1,0,0,0,,,0,0,,5
Tsuga heterophylla,17,1,0,0,0,,,0,0,,6
Tsuga mertensiana,17,1,0,0,0,,,0,0,,7
Lithocarpus densiflorus,17,1,0.44827650614537,8.75,12.5,24.1956980769231,0.112873991143037,31,1,0.032258064516129,8
Alnus rubra,17,1,0,0,0,,,0,0,,9
Abies amabilis,17,1,0,0,0,,,0,0,,10
other,17,1,0.0102316907716762,0.5,4.16666666666667,15.875,0.0277777777777777,1,0,0,11
Pseudotsuga menziesii,17,2,2.79045328861429,2.5,0,104.991958333333,0.0695461478708982,10,0,0,1
Pinus ponderosa,17,2,0,0,0,,,0,0,,2
Pinus contorta,17,2,0,0,0,,,0,0,,3
Abies concolor,17,2,0,0,0,,,0,0,,4
Abies grandis,17,2,0,0,0,,,0,0,,5
Tsuga heterophylla,17,2,0,0,0,,,0,0,,6
Tsuga mertensiana,17,2,0,0,0,,,0,0,,7
