"Ekl","Alter","N","Hg","H100","G","Dg","Dw","V","N_aus","G_aus","Dg_aus","V_aus","iV","GWL","dGZ","Art","dDg_dt","thin_N_frac","thin_G_frac","Dg_aus_rel"
2,95,320,36.8,39.2,51.5,45.3,78.2,810,21,4.1,49.4,60,18.7,1618,17,"Douglasie",0.359999999999999,0.06158357771261,0.0737410071942446,1.09050772626932
2,100,299,37.6,40,52.5,47.3,82.2,841,21,3.9,48.6,59,18.2,1709,17.1,"Douglasie",0.4,0.065625,0.0691489361702128,1.02748414376321
2,105,278,38.3,40.7,53.7,49.6,86.2,871,21,3.8,48.3,58,17.7,1797,17.1,"Douglasie",0.460000000000001,0.0702341137123746,0.0660869565217391,0.973790322580645
2,110,259,39,41.4,55,52,90.1,900,20,3.7,48.8,57,17.2,1883,17.1,"Douglasie",0.48,0.0716845878136201,0.0630323679727428,0.938461538461538
2,115,240,39.6,42.1,56.3,54.6,94.1,928,18,3.6,49.5,56,16.8,1967,17.1,"Douglasie",0.52,0.0697674418604651,0.0601001669449082,0.906593406593407
2,120,223,40.2,42.7,57.5,57.4,98,954,17,3.4,50.2,55,16.3,2048,17.1,"Douglasie",0.559999999999999,0.0708333333333333,0.0558292282430213,0.874564459930314
3,20,2836,6.2,7.7,10.4,6.8,12.6,29,1153,0,0.7,0,5.4,28,1.4,"Douglasie",NA,0.289044873401855,0,0.102941176470588
3,25,2032,9.6,11.2,16.6,10.2,16.8,74,804,1.6,5,8,10.8,82,3.3,"Douglasie",0.68,0.283497884344147,0.0879120879120879,0.490196078431373
3,30,1503,12.7,14.4,21.9,13.6,20.7,127,529,3.2,8.8,20,14.5,154,5.1,"Douglasie",0.68,0.260334645669291,0.127490039840637,0.647058823529412
3,35,1160,15.5,17.2,26.3,17,24.6,180,343,4.2,12.4,30,16.7,238,6.8,"Douglasie",0.68,0.228210246174318,0.137704918032787,0.729411764705882
3,40,938,17.9,19.7,30.1,20.2,28.4,233,222,4.6,16.3,37,18,328,8.2,"Douglasie",0.64,0.191379310344828,0.132564841498559,0.806930693069307
