siteID,year,ba,dbh,trees,growth,mort,reg,species,species_name
225,1,0,,0,,,0,1,Abies amabilis
225,2,0,,0,,,0,1,Abies amabilis
226,1,0,,0,,,0,1,Abies amabilis
226,2,0,,0,,,0,1,Abies amabilis
227,1,0,,0,,,0,1,Abies amabilis
227,2,0,,0,,,0,1,Abies amabilis
228,1,0,,0,,,0,1,Abies amabilis
228,2,0,,0,,,0,1,Abies amabilis
229,1,0,,0,,,0,1,Abies amabilis
229,2,0,,0,,,0,1,Abies amabilis
230,1,0,,0,,,0,1,Abies amabilis
230,2,0,,0,,,0,1,Abies amabilis
231,1,0,,0,,,0,1,Abies amabilis
231,2,0,,0,,,0,1,Abies amabilis
232,1,0,,0,,,0,1,Abies amabilis
232,2,0,,0,,,0,1,Abies amabilis
233,1,0,,0,,,0,1,Abies amabilis
233,2,0,,0,,,0,1,Abies amabilis
234,1,0,,0,,,0,1,Abies amabilis
234,2,0,,0,,,0,1,Abies amabilis
235,1,0,,0,,,0,1,Abies amabilis
235,2,0,,0,,,0,1,Abies amabilis
236,1,0,,0,,,0,1,Abies amabilis
236,2,0,,0,,,0,1,Abies amabilis
237,1,0,,0,,,0,1,Abies amabilis
237,2,0,,0,,,0,1,Abies amabilis
238,1,0,,0,,,0,1,Abies amabilis
238,2,0,,0,,,0,1,Abies amabilis
239,1,0,,0,,,0,1,Abies amabilis
239,2,0,,0,,,0,1,Abies amabilis
240,1,0,,0,,,0,1,Abies amabilis
240,2,0,,0,,,0,1,Abies amabilis
241,1,0,,0,,,0,1,Abies amabilis
241,2,0,,0,,,0,1,Abies amabilis
242,1,0,,0,,,0,1,Abies amabilis
242,2,0,,0,,,0,1,Abies amabilis
243,1,0,,0,,,0,1,Abies amabilis
243,2,0,,0,,,0,1,Abies amabilis
244,1,0,,0,,,0,1,Abies amabilis
244,2,0,,0,,,0,1,Abies amabilis
245,1,0,,0,,,0,1,Abies amabilis
245,2,0,,0,,,0,1,Abies amabilis
246,1,0,,0,,,0,1,Abies amabilis
246,2,0,,0,,,0,1,Abies amabilis
247,1,0,,0,,,0,1,Abies amabilis
247,2,0,,0,,,0,1,Abies amabilis
248,1,0,,0,,,0,1,Abies amabilis
248,2,0,,0,,,0,1,Abies amabilis
249,1,0,,0,,,0,1,Abies amabilis
249,2,0,,0,,,0,1,Abies amabilis
250,1,0,,0,,,0,1,Abies amabilis
250,2,0,,0,,,0,1,Abies amabilis
251,1,0,,0,,,0,1,Abies amabilis
251,2,0,,0,,,0,1,Abies amabilis
252,1,0,,0,,,0,1,Abies amabilis
252,2,0,,0,,,0,1,Abies amabilis
253,1,0,,0,,,0,1,Abies amabilis
253,2,0,,0,,,0,1,Abies amabilis
254,1,0,,0,,,0,1,Abies amabilis
254,2,0,,0,,,0,1,Abies amabilis
255,1,0,,0,,,0,1,Abies amabilis
255,2,0,,0,,,0,1,Abies amabilis
256,1,0,,0,,,0,1,Abies amabilis
256,2,0,,0,,,0,1,Abies amabilis
257,1,0,,0,,,0,1,Abies amabilis
257,2,0,,0,,,0,1,Abies amabilis
258,1,0,,0,,,0,1,Abies amabilis
258,2,0,,0,,,0,1,Abies amabilis
259,1,0,,0,,,0,1,Abies amabilis
259,2,0,,0,,,0,1,Abies amabilis
260,1,0,,0,,,0,1,Abies amabilis
260,2,0,,0,,,0,1,Abies amabilis
261,1,0,,0,,,0,1,Abies amabilis
261,2,0,,0,,,0,1,Abies amabilis
262,1,0,,0,,,0,1,Abies amabilis
262,2,0,,0,,,0,1,Abies amabilis
263,1,0,,0,,,0,1,Abies amabilis
263,2,0,,0,,,0,1,Abies amabilis
264,1,0,,0,,,0,1,Abies amabilis
264,2,0,,0,,,0,1,Abies amabilis
265,1,0,,0,,,0,1,Abies amabilis
265,2,0,,0,,,0,1,Abies amabilis
266,1,0,,0,,,0,1,Abies amabilis
266,2,0,,0,,,0,1,Abies amabilis
267,1,0,,0,,,0,1,Abies amabilis
267,2,0,,0,,,0,1,Abies amabilis
268,1,0,,0,,,0,1,Abies amabilis
268,2,0,,0,,,0,1,Abies amabilis
269,1,0,,0,,,0,1,Abies amabilis
269,2,0,,0,,,0,1,Abies amabilis
270,1,0,,0,,,0,1,Abies amabilis
270,2,0,,0,,,0,1,Abies amabilis
271,1,0,,0,,,0,1,Abies amabilis
271,2,0,,0,,,0,1,Abies amabilis
272,1,0,,0,,,0,1,Abies amabilis
272,2,0,,0,,,0,1,Abies amabilis
273,1,0,,0,,,0,1,Abies amabilis
273,2,0,,0,,,0,1,Abies amabilis
274,1,0,,0,,,0,1,Abies amabilis
274,2,0,,0,,,0,1,Abies amabilis
275,1,0,,0,,,0,1,Abies amabilis
275,2,0,,0,,,0,1,Abies amabilis
276,1,0,,0,,,0,1,Abies amabilis
276,2,0,,0,,,0,1,Abies amabilis
277,1,0,,0,,,0,1,Abies amabilis
277,2,0,,0,,,0,1,Abies amabilis
278,1,0,,0,,,0,1,Abies amabilis
278,2,0,,0,,,0,1,Abies amabilis
279,1,0,,0,,,0,1,Abies amabilis
279,2,0,,0,,,0,1,Abies amabilis
280,1,0,,0,,,0,1,Abies amabilis
280,2,0,,0,,,0,1,Abies amabilis
281,1,0,,0,,,0,1,Abies amabilis
281,2,0,,0,,,0,1,Abies amabilis
282,1,0,,0,,,0,1,Abies amabilis
282,2,0,,0,,,0,1,Abies amabilis
283,1,0,,0,,,0,1,Abies amabilis
283,2,0,,0,,,0,1,Abies amabilis
284,1,0,,0,,,0,1,Abies amabilis
284,2,0,,0,,,0,1,Abies amabilis
285,1,0,,0,,,0,1,Abies amabilis
285,2,0,,0,,,0,1,Abies amabilis
286,1,0.134150805091063,21.764625,2.75,0.133976420972442,0,16.6666666666667,1,Abies amabilis
286,2,0.189741682622849,22.1638090909091,5,0.113876857153992,0,33.3333333333333,1,Abies amabilis
287,1,0.205018913117639,21.5626461538462,5.75,0.206652264169332,0,16.6666666666667,1,Abies amabilis
287,2,0.289665664269573,22.42264375,6.75,0.177979183069219,0,8.33333333333333,1,Abies amabilis
288,1,0,,0,,,0,1,Abies amabilis
288,2,0,,0,,,0,1,Abies amabilis
289,1,0,,0,,,0,1,Abies amabilis
